time,e,n,u,do,label
2012-01-01,0.911,-1.445,0.822,55927.0,0.0
2012-01-02,1.694,0.338,-0.582,55928.0,0.0
2012-01-03,0.36,0.323,0.041,55929.0,0.0
2012-01-04,0.515,-1.1,-0.035,55930.0,0.0
2012-01-05,0.085,0.729,0.489,55931.0,0.0
2012-01-06,0.569,0.078,-1.346,55932.0,0.0
2012-01-07,-0.021,0.358,-0.381,55933.0,0.0
2012-01-08,0.777,-2.448,0.162,55934.0,0.0
2012-01-09,-1.21,-0.798,-1.343,55935.0,0.0
2012-01-10,1.357,-0.168,-1.275,55936.0,0.0
2012-01-11,1.023,0.054,0.17,55937.0,0.0
2012-01-12,-1.006,0.092,0.065,55938.0,0.0
2012-01-13,-0.538,-1.054,-1.293,55939.0,0.0
2012-01-14,-1.489,-1.273,-1.242,55940.0,0.0
2012-01-15,-1.927,-0.359,0.344,55941.0,0.0
2012-01-16,-0.592,-0.651,0.354,55942.0,0.0
2012-01-17,0.25,0.292,0.111,55943.0,0.0
2012-01-18,0.23,-0.571,-0.031,55944.0,0.0
2012-01-19,1.932,0.182,-0.929,55945.0,0.0
2012-01-20,-1.584,-0.238,-0.189,55946.0,0.0
2012-01-21,0.689,-0.224,-0.264,55947.0,0.0
2012-01-22,-1.846,-0.598,0.077,55948.0,0.0
2012-01-23,-0.635,0.887,-0.146,55949.0,0.0
2012-01-24,-0.407,-0.115,0.201,55950.0,0.0
2012-01-25,-0.615,-0.225,-0.407,55951.0,0.0
2012-01-26,0.019,-0.213,-0.004,55952.0,0.0
2012-01-27,-0.4,-0.854,-0.326,55953.0,0.0
2012-01-28,-0.177,-1.459,-0.503,55954.0,0.0
2012-01-29,0.128,0.363,-0.325,55955.0,0.0
2012-01-30,-0.512,0.108,-1.213,55956.0,0.0
2012-01-31,0.179,-1.047,-0.546,55957.0,0.0
2012-02-01,-0.259,-0.56,0.367,55958.0,0.0
2012-02-02,0.108,-0.011,0.147,55959.0,0.0
2012-02-03,0.004,-0.872,-0.842,55960.0,0.0
2012-02-04,-2.63,-0.409,-1.777,55961.0,0.0
2012-02-05,0.82,0.214,-1.545,55962.0,0.0
2012-02-06,0.508,-0.381,-0.06,55963.0,0.0
2012-02-07,0.291,-0.933,-0.092,55964.0,0.0
2012-02-08,-0.706,-0.505,-1.679,55965.0,0.0
2012-02-09,0.143,-0.145,-0.894,55966.0,0.0
2012-02-10,1.359,-0.073,-1.114,55967.0,0.0
2012-02-11,0.53,-0.814,-0.849,55968.0,0.0
2012-02-12,-1.169,-0.708,0.03,55969.0,0.0
2012-02-13,-0.225,2.136,-1.319,55970.0,0.0
2012-02-14,-0.247,0.732,-0.809,55971.0,0.0
2012-02-15,-0.956,0.205,-0.244,55972.0,0.0
2012-02-16,-2.058,-0.894,-0.309,55973.0,0.0
2012-02-17,-0.897,-0.655,-0.831,55974.0,0.0
2012-02-18,-0.749,-0.261,-0.625,55975.0,0.0
2012-02-19,-0.913,-2.369,0.321,55976.0,0.0
2012-02-20,0.461,-1.232,-1.039,55977.0,0.0
2012-02-21,0.219,-0.398,-1.413,55978.0,0.0
2012-02-22,-0.628,-1.663,0.699,55979.0,0.0
2012-02-23,-1.485,-0.697,-0.272,55980.0,0.0
2012-02-24,-0.163,0.408,-0.305,55981.0,0.0
2012-02-25,-1.12,-1.115,0.138,55982.0,0.0
2012-02-26,-0.138,-0.556,0.183,55983.0,0.0
2012-02-27,-1.229,-0.138,0.161,55984.0,0.0
2012-02-28,0.031,0.142,-1.208,55985.0,0.0
2012-02-29,-1.299,-1.043,-2.194,55986.0,0.0
2012-03-01,0.857,0.314,-1.761,55987.0,0.0
2012-03-02,-1.49,-0.427,-1.432,55988.0,0.0
2012-03-03,1.344,-0.586,-1.033,55989.0,0.0
2012-03-04,-0.731,-0.406,-1.758,55990.0,0.0
2012-03-05,-1.437,1.918,-2.001,55991.0,0.0
2012-03-06,0.622,-1.221,-2.382,55992.0,0.0
2012-03-07,-0.351,-0.249,-1.515,55993.0,0.0
2012-03-08,0.235,-1.152,-1.532,55994.0,0.0
2012-03-09,-0.254,-0.757,-0.09,55995.0,0.0
2012-03-10,-0.895,-0.049,-1.86,55996.0,0.0
2012-03-11,0.69,-2.802,-1.84,55997.0,0.0
2012-03-12,0.467,-0.635,-0.592,55998.0,0.0
2012-03-13,0.038,-0.177,-0.451,55999.0,0.0
2012-03-14,-1.385,-1.58,-1.388,56000.0,0.0
2012-03-15,-1.526,-0.896,-0.201,56001.0,0.0
2012-03-16,-0.742,0.219,-0.572,56002.0,0.0
2012-03-17,-0.869,0.209,-0.646,56003.0,0.0
2012-03-18,-0.028,-1.851,-0.691,56004.0,0.0
2012-03-19,-1.541,0.2,-0.872,56005.0,0.0
2012-03-20,0.191,-0.392,0.418,56006.0,0.0
2012-03-21,-1.305,-0.164,0.415,56007.0,0.0
